dop1,dop2,dop3,dop4,dop5,response2
0,0,0.52,0,0.48,0.811348731
1,0,0,0,0,0.883845141
0.52,0.48,0,0,0,0.857591584
0,0.34,0.32,0.34,0,0.973082276
0.32,0.34,0.34,0,0,0.862317462
0,0.5,0,0,0.5,0.786308968
0,0,0,0,0.52,0.806092828
0,0,0.52,0,0,0.786821611
0.5,0,0,0,0,1
0,0,0,0,0.5,0.801110149
0,0.34,0,0.32,0.34,0.745494166
0,0.52,0,0,0,0.956892888
0.34,0,0,0.32,0.34,0.694336762
0.32,0.34,0,0,0.34,0.730425227
0,0,0,0.52,0,0.854910178
0.34,0,0.32,0,0.34,0.795309673
0.34,0,0.34,0.32,0,0.93780564
0.34,0.32,0.34,0,0,0.807549845
0,0.5,0,0,0,0.90994496
0,0.34,0.34,0.32,0,0.850993776
0,0.5,0,0.5,0,0.764095614
0.34,0,0,0.34,0.32,0.730522873
0,0,0,1,0,0.777536772
0.32,0.34,0,0.34,0,0.823210672
0.34,0,0.32,0.34,0,0.877146681
0,0,0.5,0.5,0,0.817506456
0.5,0.5,0,0,0,0.896721788
0,0,0.5,0,0,0.885462455
0.5,0,0,0,0.5,0.702300432
0,0,0,0.48,0.52,0.808774157
0.5,0,0,0.5,0,0.772615018
0.34,0.32,0,0,0.34,0.860270359
0,0,1,0,0,0.814200082
0.34,0.32,0,0.34,0,0.769171228
0,0,0,0.5,0,0.885747697
0,0,0.34,0.34,0.32,0.706207725
0,0,0,0.5,0.5,0.735899516
0,0,0.5,0,0.5,0.746392461
0,0.34,0.34,0,0.32,0.748644498
0,0,0.52,0.48,0,0.728060217
0,0.5,0.5,0,0,0.814112006
0,1,0,0,0,0.851659896
0.5,0,0.5,0,0,0.888203561
0.52,0,0,0,0,0.946166746
0,0.34,0.32,0,0.34,0.9170068
0,0.34,0,0.34,0.32,0.761772657
0,0,0,0,0,0.977106787
0.34,0,0.34,0,0.32,0.846587128
0,0,0,0,1,0.791386607
